"OTU"	"Size"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"CONTROL14"	"CONTROL15"	"CONTROL16"	"CONTROL17"	"CONTROL18"	"GOS13"	"GOS14"	"GOS15"	"GOS16"	"GOS17"	"CONTROL"	"GOS"	"TOTAL"
"Otu059"	"Otu059"	99	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Micrococcaceae"	"Rothia"	0	0	0.358994814519346	0.35614741406008	0.0120105693009849	0.0790451347719548	0.0644485619914606	0	0.0933488914819137	0.0244419097278801	0.175972605345762	0.05618987683179	0.119662425998237
"Otu060"	"Otu060"	96	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Staphylococcaceae"	"Staphylococcus"	0.460829493087558	0.0692460832684151	0.0797766254487435	0.131619696500465	0.0360317079029546	0.0711406212947593	0.0805607024893257	0.0348553502962705	0.0466744457409568	0.260713703764054	0.0998763435746219	0.121370133956666	0.117143217029853
"Otu061"	"Otu061"	95	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Erysipelotrichaceae_unclassified"	0	0.0259672812256557	0	0	0	0	0	0.592540955036598	0	0.611047743197002	0.00713402454104442	0.206778746740987	0.0982491497669732
"Otu062"	"Otu062"	83	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0	0.13849216653683	0.0398883127243718	0.363889749148343	0.0840739851068941	0.015809026954391	0.0161121404978651	0.069710700592541	0.0466744457409568	0.0162946064852534	0.173594597165414	0.022475950732716	0.0995087542511651
"Otu063"	"Otu063"	83	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"	0	0.0259672812256557	0.0930727296902008	0	0	0	0.0322242809957303	0	0	0.562163923741242	0.0237800818034814	0.164074440348827	0.104547172187933
"Otu064"	"Otu064"	82	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Butyricicoccus"	0	0	0	0	0	0	0	0	0	0.668078865895389	0	0.184302796008271	0.103287567703741
"Otu065"	"Otu065"	80	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Howardella"	0	0.0173115208171038	0.505251961175376	0.0851656859708888	0.0120105693009849	0.0395225673859774	0.104728913236123	0.0348553502962705	0.0233372228704784	0.0651784259410135	0.123656425378103	0.0629326620516048	0.0982491497669732
"Otu066"	"Otu066"	80	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0.115207373271889	0.0519345624513113	0.0132961042414573	0.441313100030969	0.120105693009849	0.00790451347719548	0.0241682107467977	0	0	0	0.180728621706459	0.0089903802930864	0.100768358735357
"Otu067"	"Otu067"	75	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	0	0.18177096857959	0.372290918760803	0	0	0	0	0	0	0.211829884308294	0.116522400837059	0.0584374719050616	0.0944703363143973
"Otu068"	"Otu068"	74	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Lactobacillaceae"	"Lactobacillus"	0	0.00865576040855189	0.0132961042414573	0.0232270052647879	0	0.229230890838669	0.145009264480786	0.243987452073893	0.116686114352392	0.0814730324262669	0.0118900409017407	0.15508406005574	0.0780954780199018
"Otu069"	"Otu069"	73	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Chryseobacterium"	0	0	0	0	0	0	0.53170063642955	0.243987452073893	0	0	0	0.164074440348827	0.0831338959566696
"Otu070"	"Otu070"	73	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae_1"	"Peptococcus"	0	0.129836406128278	0.0398883127243718	0.00774233508826262	0	0.0395225673859774	0	0.243987452073893	0	0.342186736190321	0.0451821554266147	0.121370133956666	0.0831338959566696
"Otu071"	"Otu071"	70	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacteriales"	"Enterobacteriaceae"	"Enterobacteriaceae_unclassified"	0	0	0.0132961042414573	0.00774233508826262	0.0480422772039395	0.00790451347719548	0.402803512446629	0	0.256709451575263	0.0162946064852534	0.0142680490820888	0.143846084689382	0.0743166645673259
"Otu072"	"Otu072"	70	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Holdemanella"	0	0.077901843676967	0.0398883127243718	0.00774233508826262	0	0.0474270808631729	0.0322242809957303	0.278842802370164	0.0233372228704784	0.309597523219814	0.0309141063445258	0.128112919176481	0.0768358735357098
"Otu073"	"Otu073"	66	"Bacteria"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Fusobacterium"	0	0	0	0	0	0	0.00805607024893257	0	0.0233372228704784	0.521427407528108	0	0.148341274835926	0.0818742914724776
"Otu074"	"Otu074"	61	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Alloprevotella"	0	0.00865576040855189	0	0	0	0	0.0322242809957303	0.209132101777623	0.0233372228704784	0.399217858888708	0.00237800818034814	0.134855704396296	0.068018642146366
"Otu075"	"Otu075"	60	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Acidaminococcaceae"	"Acidaminococcus"	0	0	0.412179231485175	0	0.0360317079029546	0	0.056392491742528	0.348553502962705	0.0466744457409568	0.0570311226983868	0.0808522781318368	0.0584374719050616	0.0604610152412143
"Otu076"	"Otu076"	56	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Clostridium_XlVb"	0.0576036866359447	0.00865576040855189	0	0	0	0	0	0.313698152666434	0	0.366628645918201	0.00475601636069628	0.121370133956666	0.0592014107570223
"Otu077"	"Otu077"	54	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Acinetobacter"	0.230414746543779	0	0	0	0	0.0474270808631729	0.298074599210505	0.243987452073893	0	0	0.00951203272139256	0.11237975366358	0.0592014107570223
"Otu078"	"Otu078"	49	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Sutterellaceae"	"Sutterella"	0	0	0	0	0	0	0	0.104566050888811	0	0.374775949160828	0	0.110132158590308	0.0579418062728303
